"model","subject","r_squared","adj_r_squared","p_value","residual_se","df","n_languages"
"DeepSeek_V3","high_school_microeconomics",0.402547225495604,0.362717040528645,0.00622470615627769,0.147175377580135,15,17
"Gemini15_Pro002","elementary_mathematics",0.071929466679127,0.0100580977910687,0.297968788731975,0.0754657374676176,15,17
"Gemini15_Pro002","high_school_geography",0.0553242920849605,-0.00765408844270876,0.363469240206061,0.19461551338303,15,17
"Gemini15_Pro002","international_law",0.0368782087150878,-0.0273299107039064,0.460275292943644,0.143932487240124,15,17
"Gemini15_Pro002","global_facts",0.00327102582082614,-0.0631775724577854,0.827407253122299,0.126969333662134,15,17
"Gemini15_Pro002","high_school_microeconomics",0.197231254475763,0.14371333810748,0.0741182196472212,0.184029256099118,15,17
"Llama31_405B","elementary_mathematics",0.086886812622805,0.0260126001309919,0.250752077759109,0.0810871821949782,15,17
"Llama31_405B","high_school_geography",0.270672662966214,0.222050840497295,0.03228082424745,0.168367652897644,15,17
"Llama31_405B","international_law",0.302077557138731,0.255549394281313,0.0222856706548298,0.113639906936842,15,17
"Llama31_405B","global_facts",0.304735818291732,0.258384872844515,0.0215863317216099,0.0832745263819876,15,17
"Llama31_405B","high_school_microeconomics",0.475960065952254,0.441024070349071,0.00217871130888971,0.147517545245866,15,17
"Microsoft_Phi4","elementary_mathematics",0.469139069627969,0.4337483409365,0.00241457474373618,0.0652351978211963,15,17
"Microsoft_Phi4","high_school_geography",0.426930397024602,0.388725756826242,0.00444988207008871,0.156129299979135,15,17
"Microsoft_Phi4","international_law",0.286059855334908,0.238463845690569,0.0269584254063539,0.129280620260244,15,17
"Microsoft_Phi4","global_facts",0.0454265070234143,-0.0182117258416914,0.411451071621178,0.0473609600538444,15,17
"Microsoft_Phi4","high_school_microeconomics",0.446602150439007,0.409708960468274,0.00336366014964058,0.162420340410893,15,17
"OpenAI_GPT4o","elementary_mathematics",0.141261856584409,0.08401264702337,0.137074593536334,0.0797794777055015,15,17
"OpenAI_GPT4o","high_school_geography",0.245717875956385,0.195432401020144,0.0430213548427182,0.156978498827225,15,17
"OpenAI_GPT4o","international_law",0.0842359440730194,0.0231850070112207,0.258452344433719,0.160606288892338,15,17
"OpenAI_GPT4o","global_facts",0.0835084035402819,0.0224089637763009,0.260612513561789,0.10448976254808,15,17
"OpenAI_GPT4o","high_school_microeconomics",0.17422383382977,0.119172089418422,0.0955122456180601,0.182351038637118,15,17
"Pixtral_12B_2409","elementary_mathematics",0.16431196105542,0.108599425125781,0.106484818935691,0.0283242037379129,15,17
"Pixtral_12B_2409","high_school_geography",0.437247151795777,0.399730295248829,0.00384652481237992,0.114984266845197,15,17
"Pixtral_12B_2409","international_law",0.352721288774452,0.309569374692749,0.0119466683190123,0.103667050139636,15,17
"Pixtral_12B_2409","global_facts",0.221855819087561,0.169979540360065,0.0563392464899659,0.0506712013122869,15,17
"Pixtral_12B_2409","high_school_microeconomics",0.40260701085994,0.362780811583936,0.00621967433538849,0.0994132208824391,15,17
"Qwen25_32B","elementary_mathematics",0.376839804778179,0.335295791763391,0.00875991539991276,0.0713125230664597,15,17
"Qwen25_32B","high_school_geography",0.404229867437861,0.364511858600385,0.00608447168089402,0.14787923584879,15,17
"Qwen25_32B","international_law",0.260227370274032,0.210909194958967,0.036430445348866,0.122264586225569,15,17
"Qwen25_32B","global_facts",0.23916952008707,0.188447488092875,0.0463466657635438,0.0660280836640602,15,17
"Qwen25_32B","high_school_microeconomics",0.405054866686736,0.365391857799185,0.00601675450868923,0.144687949444601,15,17
